,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD,N/A
194,,,,,,,,,,,O15527,Q9H2D1,O95847,Q14318,O75746,Q86WU2,,,,N/A
195,,,,,,,,,,,P17612,Q9H2K0,P49419,Q12983,Q9NWS8,Q53FZ2,,,,N/A
196,,,,,,,,,,,O75390,P78540,Q08426,Q06055,O00142,O95831,,,,N/A
197,,,,,,,,,,,P16260,O95140,Q8IWW8,P18859,Q16881,P49821,,,,N/A
198,,,,,,,,,,,O95847,P55789,O43708,Q70CQ3,P53396,Q9NNW7,,,,N/A
199,,,,,,,,,,,Q9H6K4,P49448,P61604,P80404,Q5T1C6,P00846,,,,N/A
200,,,,,,,,,,,P49789,O60218,Q96RR1,P49247,O75616,P30041,,,,N/A
201,,,,,,,,,,,P12074,Q13505,P40305,P07108,P50440,Q9Y276,,,,N/A
202,,,,,,,,,,,P14854,Q8N573,Q9UHN1,P16260,O43766,P00387,,,,N/A
203,,,,,,,,,,,Q02221,O75027,P03915,Q9NPE2,P11310,P21796,,,,N/A
204,,,,,,,,,,,Q6YFQ2,P16260,Q16611,P00395,Q16774,Q7L3V2,,,,N/A
205,,,,,,,,,,,Q7Z434,Q96EY1,Q9NX47,Q99551,Q16798,Q9HD34,,,,N/A
206,,,,,,,,,,,P49773,P35218,P57105,Q9NRP4,P47985,Q9NWU1,,,,N/A
207,,,,,,,,,,,Q14197,Q8IWA4,P30041,P09417,Q7Z4W1,Q9BQT8,,,,N/A
208,,,,,,,,,,,Q8NBU5,Q16526,Q9UJA2,Q8IWA4,P22234,Q9NXA8,,,,N/A
209,,,,,,,,,,,P56556,Q9NZJ7,Q07021,P34913,Q7L3V2,P34913,,,,N/A
210,,,,,,,,,,,P00156,P47985,O94761,P23378,P32322,Q9UJA2,,,,N/A
211,,,,,,,,,,,P15538,O43521,Q96I51,P23434,P55851,P54098,,,,N/A
212,,,,,,,,,,,P30048,Q9NP81,Q9H7Z7,P00414,Q9H2D1,P16260,,,,N/A
